p	eta	c	CFL	exitFlag
0	NaN	NaN	2.5116627115715	1
1	9.08709977433702	6.05806651622468	1.9439801192346	1
2	3.88021485068423	0.172453993363744	0.622785928018518	1
3	2.88051559714484	0.00365779758367599	0.333694959972279	1
4	2.41447691906812	4.8666705347808e-05	0.211772927086852	1
5	2.12996073054013	4.33655930540502e-07	0.14855637388168	1
6	1.95152101197853	2.778503113018e-09	0.111033592368207	1
7	1.82353495463982	1.33142631773232e-11	0.086693195500325	1
8	1.72928727126658	4.95142276425538e-14	0.0698881643645392	1
9	1.65538659187318	1.46743804721564e-16	0.0577361958935295	1
10	1.59669986087496	3.54740467195606e-19	0.0486291734804549	1
11	1.54885045375116	7.12442473489368e-22	0.0416070510690381	1
12	1.50805924345931	1.20639873658957e-24	0.0360651502841003	1
13	1.47424531385398	1.74718323544628e-27	0.0316060098767688	1
14	1.44457804383364	2.18649226647206e-30	0.0279588869635888	1
15	1.41921774725637	2.38944081346327e-33	0.0249337843263474	1
16	1.39658976654764	2.29847860672687e-36	0.02239392798659	1
17	1.37631036925225	1.96112830589085e-39	0.0202386359019398	1
18	1.35850705474547	1.49479541079978e-42	0.0183924095671944	1
19	1.3426506464526	1.02380336344267e-45	0.0167976275960832	1
20	1.32785308403197	6.33220679621016e-49	0.0154096875567808	1
25	1.27207249079289	1.46087506501009e-65	0.0105660961001904	1
35	1.20492034467584	2.98184391232505e-101	0.00594339035373737	1
47	1.16051802529342	2.73754552991728e-147	0.00356909644646225	1
64	1.12428804277842	6.42200929403524e-217	0.00208113371179229	1
87	1.09621825600486	0	0.00121122115166553	1
119	1.07429395027541	NaN	0.000694151474381503	1
